filename,vulnerability,severity
sample_001.py,sql_injection,Critical
sample_002.py,hardcoded_secret,High
sample_003.py,insecure_eval,Critical
sample_004.py,path_traversal,High
sample_005.py,weak_crypto,Medium
sample_006.py,xss,High
sample_007.py,insecure_deserialization,Critical
sample_008.py,command_injection,Critical
sample_009.py,none,Low
sample_010.py,none,Low
sample_011.py,sql_safe,Low
sample_012.py,hardcoded_secret,High
sample_013.py,insecure_eval,Critical
sample_014.py,weak_crypto,Medium
sample_015.py,xss,High
sample_016.py,insecure_deserialization,Critical
sample_017.py,command_injection,High
sample_018.py,sql_injection,High
sample_019.py,hardcoded_secret,High
sample_020.py,none,Low
sample_021.py,path_traversal,Medium
sample_022.py,good_crypto,Low
sample_023.py,sql_injection,High
sample_024.py,hardcoded_secret,High
sample_025.py,xss,Medium
sample_026.py,sql_injection,Medium
sample_027.py,deserial_safe,Low
sample_028.py,none,Low
sample_029.py,command_injection,Medium
sample_030.py,none,Low
sample_031.py,hardcoded_secret,High
sample_032.py,sql_injection,Critical
sample_033.py,xss,Medium
sample_034.py,path_traversal,High
sample_035.py,command_injection,Low
sample_036.py,none,Low
sample_037.py,insecure_deserialization,High
sample_038.py,hardcoded_secret,High
sample_039.py,command_injection,Medium
sample_040.py,sql_injection,Critical
